year,quarter,period_label,total_consolidated_sales_eur_m,cumulative_ytd_source_value_eur_m,derived,precision_note
2023,Q1,Q1/2023,483.722,483.722,no,"exact (P&L table, EUR 000s)"
2023,Q2,HY1/2023,496.592,980.314,yes,"exact (derived: H1 minus Q1)"
2023,Q3,9M/2023,520.997,1501.311,yes,"exact (derived: 9M minus H1)"
2023,Q4,FY2023,469.589,1970.9,yes,"derived: FY (annual report) minus 9M"
2024,Q1,Q1/2024,536.667,536.667,no,"exact (P&L table, EUR 000s)"
2024,Q2,HY1/2024,554.181,1090.848,yes,"exact (derived: H1 minus Q1)"
2024,Q3,9M/2024,601.152,1692,yes,"derived: 9M minus H1; note: a later 2025 report cites 9M/2024 as EUR 1689m (restatement/rounding, ~0.2% diff)"
2024,Q4,FY2024,574.900,2266.9,yes,"derived: FY (annual report) minus 9M"
2025,Q1,Q1/2025,603,603,no,"rounded to nearest EUR m (narrative disclosure, not P&L table)"
2025,Q2,HY1/2025,621,1224,yes,"derived: H1 minus Q1; rounded EUR m"
2025,Q3,9M/2025,618,1842,yes,"derived: 9M minus H1; rounded EUR m"
2025,Q4,FY2025,593.300,2435.3,yes,"derived: FY (annual report) minus 9M"
2026,Q1,Q1/2026,613,613,no,"rounded to nearest EUR m (narrative disclosure)"
2026,Q2,HY1/2026,635,1248,yes,"derived: H1 minus Q1; rounded EUR m"
